Time (s),Torque (Nm),X Accel (m/s2),Y Accel (m/s2),Z Accel (m/s2),CNT 1/Angle (Degrees),CNT 1/Frequency (RPM)
8.21669000,-0.0345359407365322,0.0741736814379692,-0.0407514423131943,-0.028413251042366,4982.34375,0
8.21670000,-0.0345359407365322,-0.0808161050081253,0.0769749507308006,0.0480839647352695,4982.34375,0
8.21671000,-0.0345359407365322,0.107385784387589,0.0599951781332493,-0.0163922607898712,4982.34375,0
8.21672000,-0.0345359407365322,0.0376403778791428,0.0565992258489132,-0.00327845220454037,4982.34375,0
8.21673000,-0.0345359407365322,0.026569677516818,-0.00792389176785946,-0.114745825529099,4982.34375,0
8.21674000,-0.0345359407365322,-0.108492851257324,0.108670510351658,-0.19561430811882,4982.34375,0
8.21675000,-0.0345359407365322,0.00885655917227268,0.121122345328331,0.103817649185658,4982.34375,0
8.21676000,-0.0345359407365322,0.166060492396355,-0.118858374655247,0.0327845215797424,4982.34375,0
8.21677000,-0.0345359407365322,0.139490813016891,-0.0452793799340725,0.0841469392180443,4982.34375,0
8.21678000,-0.0345359407365322,0.0564605668187141,0,0.0458983294665813,4982.34375,0
8.21679000,-0.0345359407365322,0.12067062407732,0.0837668552994728,-0.130045264959335,4982.34375,0
8.21680000,-0.0345359407365322,0.0697454065084457,0.0113198449835181,-0.0131138088181615,4982.34375,0
8.21681000,-0.0345359407365322,-0.0409615859389305,-0.0339595340192318,-0.16610823571682,4982.34375,0
8.21682000,-0.0345359407365322,-0.130634248256683,0.0407514423131943,0.0808684825897217,4982.34375,0
8.21683000,-0.0345359407365322,0.12067062407732,0.0645231157541275,-0.0109281735494733,4982.34375,0
8.21684000,-0.0345359407365322,0.032105028629303,-0.00679190689697862,-0.162829786539078,4982.34375,0
8.21685000,-0.0345359407365322,-0.123991832137108,0.10980249941349,-0.125673994421959,4982.34375,0
8.21686000,-0.0345359407365322,-0.0608888454735279,0.00452793808653951,-0.0601049549877644,4982.34375,0
8.21687000,-0.0345359407365322,-0.0686383321881294,-0.0396194569766521,0.0732187628746033,4982.34375,0
8.21688000,-0.0345359407365322,-0.0221413988620043,-0.0407514423131943,-0.00983535591512919,4982.34375,0
8.21689000,-0.0345359407365322,0.0907797366380692,-0.0871628075838089,0.0404342412948608,4982.34375,0
8.21690000,-0.0345359407365322,-0.0697454065084457,0.0645231157541275,-0.177036419510841,4982.34375,0
8.21691000,-0.0345359407365322,-0.187094822525978,0.018111752346158,-0.0568265020847321,4982.34375,0
8.21692000,-0.0345359407365322,0.0376403778791428,-0.0192437376827002,0.0764972195029259,4982.34375,0
8.21693000,-0.0345359407365322,0.0852443873882294,0.00339595344848931,0.0710331276059151,4982.34375,0
8.21694000,-0.0345359407365322,-0.00221413979306817,-0.0599951781332493,0.0131138088181615,4982.34375,0
8.21695000,-0.0345359407365322,-0.0907797366380692,0.0373554900288582,0.0305988863110542,4982.34375,0
8.21696000,-0.0345359407365322,-0.117349408566952,-0.0147157991304994,0.0240419823676348,4982.34375,0
8.21697000,-0.0345359407365322,-0.0387474484741688,0.0226396899670362,-0.155180066823959,4982.34375,0
8.21698000,-0.0345359407365322,-0.125098899006844,-0.161873787641525,-0.0131138088181615,4982.34375,0
8.21699000,-0.0345359407365322,-0.163846343755722,-0.090558759868145,-0.140973448753357,4982.34375,0
8.21700000,-0.0342619381844997,0.0918868035078049,-0.192437365651131,-0.00983535591512919,4982.34375,0
8.21701000,-0.0342619381844997,0.0177131183445454,-0.107538528740406,-0.055733684450388,4982.34375,0
8.21702000,-0.0342619381844997,0.0907797366380692,0.0350915193557739,0.0448055118322372,4982.34375,0
8.21703000,-0.0342619381844997,0.0221413988620043,-0.00565992249175906,-0.10709610581398,4982.34375,0
8.21704000,-0.0342619381844997,0.0154989790171385,-0.212813094258308,-0.0196707118302584,4982.34375,0
8.21705000,-0.0342619381844997,0.110706992447376,-0.0622591488063335,-0.00327845220454037,4982.34375,0
8.21706000,-0.0342619381844997,-0.00774948950856924,0.0192437376827002,-0.0666618570685387,4982.34375,0
8.21707000,-0.0342619381844997,-0.066424198448658,0.0305635817348957,-0.0491767823696136,4982.34375,0
8.21708000,-0.0342619381844997,-0.0874585211277008,0.0498073175549507,-0.0382486097514629,4982.34375,0
8.21709000,-0.0342619381844997,0.0675312653183937,-0.0113198449835181,-0.0240419823676348,4982.34375,0
8.21710000,-0.0342619381844997,0.0653171241283417,-0.0441473945975304,-0.0251348000019789,4982.34375,0
8.21711000,-0.0342619381844997,-0.00442827958613634,-0.0532032735645771,-0.234955742955208,4982.34375,0
8.21712000,-0.0342619381844997,-0.0354262366890907,-0.0645231157541275,-0.108188919723034,4982.34375,0
8.21713000,-0.0342619381844997,-0.0210343282669783,0.0565992258489132,0.00218563480302691,4982.34375,0
8.21714000,-0.0342619381844997,-0.0221413988620043,-0.090558759868145,0.124581180512905,4982.34375,0
8.21715000,-0.0342619381844997,-0.0797090381383896,-0.0486753359436989,-0.014206625521183,4982.34375,0
8.21716000,-0.0342619381844997,0.0431757271289825,0.124518297612667,-0.00983535591512919,4982.34375,0
8.21717000,-0.0342619381844997,-0.0154989790171385,-0.0260356441140175,-0.100539200007915,4982.34375,0
8.21718000,-0.0342619381844997,-0.0221413988620043,-0.0486753359436989,0.182500496506691,4982.34375,0
8.21719000,-0.0342619381844997,-0.0697454065084457,-0.118858374655247,-0.0830541178584099,4982.34375,0
8.21720000,-0.0342619381844997,-0.0608888454735279,0.0305635817348957,-0.103817649185658,4982.34375,0
8.21721000,-0.0342619381844997,0.193737238645554,0.0271676275879145,-0.0666618570685387,4982.34375,0
8.21722000,-0.0342619381844997,0.0121777690947056,-0.133574172854424,-0.0163922607898712,4982.34375,0
